Date,Forecast,Lower_95,Upper_95
2024-05-06,4898.025032144182,4020.2713167347792,5775.778747553584
2024-05-07,4899.579380402921,4016.397505694579,5782.7612551112625
2024-05-08,4901.043718612108,4012.4525956351545,5789.634841589062
2024-05-09,4902.597575158703,4008.6231799838115,5796.571970333594
2024-05-10,4904.073548388093,4004.739394408312,5803.407702367874
2024-05-13,4905.607312301267,4000.9334743455634,5810.281150256969
2024-05-14,4907.108388663847,3997.1216493005186,5817.095128027176
2024-05-15,4908.615732220207,3993.3326692839423,5823.898795156472
2024-05-16,4910.14109588406,3989.588880521068,5830.6933112470515
2024-05-17,4911.629087719822,3985.823901829116,5837.434273610527
2024-05-20,4913.166991795679,3982.133640757241,5844.200342834116
2024-05-21,4914.650071154423,3978.406593735577,5850.893548573269
2024-05-22,4916.185487464364,3974.7529353457326,5857.618039582996
2024-05-23,4917.677326603232,3971.0761847378244,5864.27846846864
2024-05-24,4919.199499331431,3967.447385673346,5870.951612989516
2024-05-28,4920.706914206739,3963.8258061548895,5877.588022258589
2024-05-29,4922.213384855783,3960.2189833574826,5884.207786354084
2024-05-30,4923.734650074944,3956.6487205649173,5890.82057958497
2024-05-31,4925.230650170781,3953.068748720959,5897.392551620603
2024-06-03,4926.758069574169,3949.540249952919,5903.975889195419
2024-06-04,4928.252525105537,3945.9953777379756,5910.509672473097
2024-06-05,4929.777195184245,3942.498416049243,5917.055974319247
2024-06-06,4931.2778759473085,3938.9952850025024,5923.560466892115
2024-06-07,4932.794007349632,3935.5232663824972,5930.064748316767
2024-06-10,4934.304216733532,3932.0637281002173,5936.544705366846
2024-06-11,4935.811130776038,3928.615464510042,5943.006797042035
2024-06-12,4937.329127650656,3925.1962710399375,5949.461984261375
2024-06-13,4938.830500318784,3921.774938085762,5955.886062551806
2024-06-14,4940.351347284243,3918.389845197586,5962.312849370901
2024-06-17,4941.852620517464,3915.000186867192,5968.705054167736
2024-06-18,4943.371107516453,3911.643005196934,5975.099209835971
2024-06-20,4944.876633380011,3908.28842618987,5981.464840570153
2024-06-21,4946.389715998317,3904.9554286962443,5987.824003300389
2024-06-24,4947.900994812463,3901.6363235535655,5994.165666071361
2024-06-25,4949.408734015337,3898.3270438868967,6000.490424143778
2024-06-26,4950.9243235326585,3895.040866006352,6006.807781058965
2024-06-27,4952.429209939326,3891.757258464674,6013.101161413978
2024-06-28,4953.945998461266,3888.4999331150575,6019.392063807474
2024-07-01,4955.451307044294,3885.244618863415,6025.657995225172
2024-07-02,4956.966284008015,3882.0123736812366,6031.9201943347925
2024-07-03,4958.474413530455,3878.78696366453,6038.161863396381
2024-07-05,4959.98602448002,3875.5776530924086,6044.394395867632
2024-07-08,4961.49758386588,3872.3818962662576,6050.613271465503
2024-07-09,4963.006137184143,3869.1953202791046,6056.816954089181
2024-07-10,4964.520040595857,3866.027292801526,6063.012788390188
2024-07-11,4966.027177914033,3862.864573734905,6069.189782093161
2024-07-12,4967.541494637457,3859.7216046507538,6075.36138462416
2024-07-15,4969.049162328148,3856.58410262725,6081.514222029045
2024-07-16,4970.562175527294,3853.4638590205795,6087.660492034009
2024-07-17,4972.0716714782175,3850.3522167927895,6093.7911261636455
2024-07-18,4973.582618307796,3847.253419113561,6099.911817502031
2024-07-19,4975.094133972257,3844.1671447246144,6106.021123219899
2024-07-22,4976.603355233439,3841.0896623832277,6112.117048083651
2024-07-23,4978.116118950447,3838.0273272905597,6118.204910610335
2024-07-24,4979.624673069058,3834.971739757985,6124.277606380132
2024-07-25,4981.137503704398,3831.9315729242867,6130.34343448451
2024-07-26,4982.646533230384,3828.898507826993,6136.394558633776
2024-07-29,4984.158465476747,3825.879031375782,6142.4378995777115
2024-07-30,4985.668657296093,3822.868627873456,6148.468686718731
2024-07-31,4987.179337869693,3819.8690349582466,6154.489640781139
2024-08-01,4988.690704304842,3816.880750797276,6160.5006578124085
2024-08-02,4990.200425741328,3813.9009065606697,6166.499944921987
2024-08-05,4991.712439649571,3810.9336847148716,6172.4911945842705
2024-08-06,4993.221871857578,3807.973828201256,6178.4699155139
2024-08-07,4994.7338201237435,3805.026471538098,6184.441168709389
2024-08-08,4996.243625453088,3802.086816730114,6190.400434176061
2024-08-09,4997.7549737393165,3799.158355827639,6196.351591650994
2024-08-12,4999.265505810544,3796.238794680451,6202.2922169406365
2024-08-13,5000.776105494489,3793.328681932173,6208.223529056804
2024-08-14,5002.287311974302,3790.4287033691344,6214.145920579469
2024-08-15,5003.7973876117,3787.536780691803,6220.057994531598
2024-08-16,5005.308918825585,3784.6555971406024,6225.962240510568
2024-08-19,5006.818887655898,3781.7818989960715,6231.855876315724
2024-08-20,5008.330318450422,3778.9186790540007,6237.741957846843
2024-08-21,5009.840559486046,3776.0631948296573,6243.617924142434
2024-08-22,5011.3515993051315,3773.2172733745456,6249.485925235717
2024-08-23,5012.862288067212,3770.3797858425783,6255.344790291845
2024-08-26,5014.372885679393,3767.550760087141,6261.195011271646
2024-08-27,5015.883956423809,3764.7308175681264,6267.037095279491
2024-08-28,5017.3942734100865,3761.9185087577853,6272.870038062388
2024-08-29,5018.905499511766,3759.1155155411834,6278.695483482348
2024-08-30,5020.415792012045,3756.319841602405,6284.511742421685
2024-09-03,5021.926923114719,3753.5332004116913,6290.3206458177465
2024-09-04,5023.437405023828,3750.754036077583,6296.120773970074
2024-09-05,5024.948286424002,3747.9832664361575,6301.913306411846
2024-09-06,5026.459040437836,3745.22035712998,6307.697723745692
2024-09-09,5027.969663841243,3742.4651403976627,6313.474187284824
2024-09-10,5029.480631029418,3739.718097778463,6319.243164280373
2024-09-11,5030.991107797563,3736.978243405405,6325.003972189721
2024-09-12,5032.502144086132,3734.246607370922,6330.757680801342
2024-09-13,5034.012629371908,3731.521972043871,6336.5032866999445
2024-09-16,5035.523589159867,3728.805296819225,6342.2418815005085
2024-09-17,5037.034201854165,3726.0957030859568,6347.972700622373
2024-09-18,5038.545004883468,3723.39362288141,6353.696386885526
2024-09-19,5040.055780837587,3720.698814360972,6359.412747314202
2024-09-20,5041.566435245394,3718.0110627150148,6365.121807775773
2024-09-23,5043.077328208221,3715.330708553949,6370.823947862493
2024-09-24,5044.587908366115,3712.65709204229,6376.5187246899395
2024-09-25,5046.098828253232,3709.990828150392,6382.206828356071
2024-09-26,5047.609426955246,3707.3311758491427,6387.887678061349
2024-09-27,5049.120290169509,3704.6786562600028,6393.561924079015
2024-09-30,5050.63097237437,3702.032772967321,6399.229171781419
2024-10-01,5052.1417386631565,3699.393705615853,6404.88977171046
2024-10-02,5053.652517610032,3696.7613492804294,6410.543685939635
2024-10-03,5055.163199421197,3694.1355029800557,6416.190895862337
2024-10-04,5056.674041368312,3691.51639146626,6421.831691270364
2024-10-07,5058.18468716588,3688.903576788156,6427.465797543604
2024-10-08,5059.695536614633,3686.297414643393,6433.093658585873
2024-10-09,5061.206201212954,3683.697452762087,6438.71494966382
2024-10-10,5062.717010814275,3681.1039614700467,6444.330060158504
2024-10-11,5064.227728998595,3678.5166576057086,6449.938800391481
2024-10-14,5065.7384794951095,3675.935594670057,6455.541364320162
2024-10-15,5067.249254300474,3673.3607271918563,6461.137781409091
2024-10-16,5068.759957468048,3670.79188756103,6466.728027375066
2024-10-17,5070.270765415921,3668.229214357754,6472.312316474088
2024-10-18,5071.781452206835,3665.672417126926,6477.890487286743
2024-10-21,5073.292259568082,3663.1216926332136,6483.4628265029505
2024-10-22,5074.802961962657,3660.5767620761058,6489.029161849208
2024-10-23,5076.313742313016,3658.0377548599035,6494.589729766128
2024-10-24,5077.824478487549,3655.504505547694,6500.1444514274035
2024-10-25,5079.335223261675,3652.9770082194236,6505.693438303927
2024-10-28,5080.8459921602625,3650.455240084375,6511.23674423615
2024-10-29,5082.356710840972,3647.9390685194385,6516.774353162505
2024-10-30,5083.867496670458,3645.428571959351,6522.306421381566
2024-10-31,5085.378208689014,3642.92355633883,6527.832861039198
2024-11-01,5086.888991212302,3640.42412285537,6533.353859569234
2024-11-04,5088.399714991267,3637.9300962478274,6538.869333734706
2024-11-05,5089.910479704419,3635.4415285281048,6544.379430880734
2024-11-06,5091.421224447492,3632.95831866738,6549.884130227604
2024-11-07,5092.9319680131275,3630.480435547034,6555.383500479221
2024-11-08,5094.4427314215945,3628.007862823759,6560.87760001943
2024-11-11,5095.953460864715,3625.5404978631996,6566.366423866231
2024-11-12,5097.464232587838,3623.078379082396,6571.850086093279
2024-11-13,5098.974959922989,3620.6213746730973,6577.328545172881
2024-11-14,5100.4857279689795,3618.169529592469,6582.80192634549
2024-11-15,5101.996463667684,3615.7227301547764,6588.270197180592
2024-11-18,5103.507220227289,3613.280987173878,6593.733453280699
2024-11-19,5105.01796875363,3610.8442346820775,6599.191702825183
2024-11-20,5106.528712897004,3608.412433200633,6604.644992593375
2024-11-21,5108.03947192048,3605.9855665349723,6610.093377305987
2024-11-22,5109.55020858699,3603.5635555406907,6615.53686163329
2024-11-25,5111.060971465258,3601.146413107157,6620.9755298233595
2024-11-26,5112.5717079813285,3598.7340473699046,6626.409368592753
2024-11-27,5114.0824676958555,3596.326471054741,6631.83846433697
2024-11-29,5115.593209928196,3593.9236071122705,6637.262812744122
2024-12-02,5117.103962370772,3591.5254454340484,6642.682479307496
2024-12-03,5118.614712349356,3589.131939195695,6648.097485503016
2024-12-04,5120.125457592717,3586.743048332514,6653.50786685292
2024-12-05,5121.6362133833545,3584.358755008896,6658.913671757813
2024-12-06,5123.146954775685,3581.9789976269294,6664.314911924441
2024-12-09,5124.657712191128,3579.603773485215,6669.711650897041
2024-12-10,5126.16845414233,3577.2330163165507,6675.10389196811
2024-12-11,5127.679209126226,3574.8667210331087,6680.491697219343
2024-12-12,5129.189954870737,3572.5048325261123,6685.875077215362
2024-12-13,5130.700705324404,3570.1473308935265,6691.254079755282
2024-12-16,5132.211455688028,3567.79417995134,6696.628731424716
2024-12-17,5133.722202021303,3565.445342252811,6701.999061789795
2024-12-18,5135.232955546253,3563.1007983681125,6707.365112724394
2024-12-19,5136.7436999668225,3560.760499486046,6712.726900447599
2024-12-20,5138.25445405446,3558.424433879539,6718.084474229382
2024-12-23,5139.765199183693,3556.09255177097,6723.4378465964155
2024-12-24,5141.275951520328,3553.7648387659015,6728.787064274755
2024-12-26,5142.786699108793,3551.441253096071,6734.132145121515
2024-12-27,5144.297448663777,3549.1217710148776,6739.473126312676
2024-12-30,5145.808198972765,3546.806362504225,6744.810035441305
