Date,Actual,Forecast
2024-04-09,5209.91015625,4869.365304621468
2024-04-10,5160.64013671875,4870.805386107919
2024-04-11,5199.06005859375,4872.422975742792
2024-04-12,5123.41015625,4873.808070191138
2024-04-15,5061.81982421875,4875.445493723804
2024-04-16,5051.41015625,4876.844507216576
2024-04-17,5022.2099609375,4878.439726429027
2024-04-18,5011.1201171875,4879.900827396369
2024-04-19,4967.22998046875,4881.424037573275
2024-04-22,5010.60009765625,4882.956966316607
2024-04-23,5070.5498046875,4884.41749469888
2024-04-24,5071.6298828125,4885.997128349766
2024-04-25,5048.419921875,4887.431006931389
2024-04-26,5099.9599609375,4889.016115958409
2024-04-29,5116.169921875,4890.4640406760345
2024-04-30,5035.68994140625,4892.019494364617
2024-05-01,5018.39013671875,4893.507250749931
2024-05-02,5064.2001953125,4895.018802414077
2024-05-03,5127.7900390625,4896.548590202757
2024-05-06,5180.740234375,4898.025032144182
2024-05-07,5187.7001953125,4899.579380402921
2024-05-08,5187.669921875,4901.043718612108
2024-05-09,5214.080078125,4902.597575158703
2024-05-10,5222.68017578125,4904.073548388093
2024-05-13,5221.419921875,4905.607312301267
2024-05-14,5246.68017578125,4907.108388663847
2024-05-15,5308.14990234375,4908.615732220207
2024-05-16,5297.10009765625,4910.14109588406
2024-05-17,5303.27001953125,4911.629087719822
2024-05-20,5308.1298828125,4913.166991795679
2024-05-21,5321.41015625,4914.650071154423
2024-05-22,5307.009765625,4916.185487464364
2024-05-23,5267.83984375,4917.677326603232
2024-05-24,5304.72021484375,4919.199499331431
2024-05-28,5306.0400390625,4920.706914206739
2024-05-29,5266.9501953125,4922.213384855783
2024-05-30,5235.47998046875,4923.734650074944
2024-05-31,5277.509765625,4925.230650170781
2024-06-03,5283.39990234375,4926.758069574169
2024-06-04,5291.33984375,4928.252525105537
2024-06-05,5354.02978515625,4929.777195184245
2024-06-06,5352.9599609375,4931.2778759473085
2024-06-07,5346.990234375,4932.794007349632
2024-06-10,5360.7900390625,4934.304216733532
2024-06-11,5375.31982421875,4935.811130776038
2024-06-12,5421.02978515625,4937.329127650656
2024-06-13,5433.740234375,4938.830500318784
2024-06-14,5431.60009765625,4940.351347284243
2024-06-17,5473.22998046875,4941.852620517464
2024-06-18,5487.02978515625,4943.371107516453
2024-06-20,5473.169921875,4944.876633380011
2024-06-21,5464.6201171875,4946.389715998317
2024-06-24,5447.8701171875,4947.900994812463
2024-06-25,5469.2998046875,4949.408734015337
2024-06-26,5477.89990234375,4950.9243235326585
