Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD
Date,,,,,,
2024-09-01,2503.89404296875,2503.89404296875,2506.744140625,2500.28076171875,2504.188720703125,7313119
2024-09-02,2499.639892578125,2499.639892578125,2506.48583984375,2491.830322265625,2503.89404296875,7522993
2024-09-03,2494.592529296875,2494.592529296875,2506.76953125,2477.38623046875,2499.639892578125,6741201
2024-09-04,2497.5810546875,2497.5810546875,2500.129150390625,2474.734130859375,2494.592529296875,8182306
2024-09-05,2518.91748046875,2518.91748046875,2526.566650390625,2493.791748046875,2497.673583984375,6026739
2024-09-06,2500.101318359375,2500.101318359375,2527.5888671875,2488.392822265625,2518.91748046875,5797899
2024-09-07,2496.77392578125,2496.77392578125,2500.995361328125,2495.828857421875,2500.101318359375,5083366
2024-09-08,2497.0927734375,2497.0927734375,2500.4951171875,2494.542236328125,2496.77392578125,3494784
2024-09-09,2507.438232421875,2507.438232421875,2508.63427734375,2489.4326171875,2496.86669921875,3483397
2024-09-10,2518.148681640625,2518.148681640625,2519.60693359375,2501.76025390625,2507.438232421875,3253247
2024-09-11,2511.658935546875,2511.658935546875,2526.246826171875,2505.22314453125,2518.148681640625,3488890
2024-09-12,2557.974853515625,2557.974853515625,2560.232421875,2508.825439453125,2511.658935546875,3736189
2024-09-13,2576.6640625,2576.6640625,2585.560546875,2556.543701171875,2557.974853515625,4671343
2024-09-14,2580.093505859375,2580.093505859375,2580.9912109375,2573.4970703125,2576.6640625,3722018
2024-09-15,2579.597412109375,2579.597412109375,2582.104736328125,2574.31298828125,2580.093505859375,2983138
2024-09-16,2584.605712890625,2584.605712890625,2591.17919921875,2577.45703125,2579.597412109375,2980401
2024-09-17,2574.25830078125,2574.25830078125,2588.246826171875,2562.4970703125,2584.60302734375,3311055
2024-09-18,2559.344970703125,2559.344970703125,2600.586181640625,2549.5908203125,2574.25830078125,3694346
2024-09-19,2587.536376953125,2587.536376953125,2593.179443359375,2554.352783203125,2559.344970703125,3277868
2024-09-20,2620.033203125,2620.033203125,2624.208984375,2583.20751953125,2587.536376953125,6970855
2024-09-21,2620.9638671875,2620.9638671875,2623.4921875,2612.513427734375,2620.033203125,3774814
2024-09-22,2621.151123046875,2621.151123046875,2624.44189453125,2619.649658203125,2620.9638671875,2354293
2024-09-23,2626.76220703125,2626.76220703125,2633.854736328125,2615.92333984375,2621.151123046875,4126812
2024-09-24,2657.02880859375,2657.02880859375,2664.42529296875,2622.98974609375,2626.76220703125,3282162
2024-09-25,2654.400634765625,2654.400634765625,2667.926025390625,2649.5185546875,2657.02880859375,4078368
2024-09-26,2671.841552734375,2671.841552734375,2680.47509765625,2651.122314453125,2654.400634765625,4501312
2024-09-27,2659.4619140625,2659.4619140625,2673.078369140625,2644.71435546875,2671.841552734375,3781987
2024-09-28,2658.980224609375,2658.980224609375,2661.593505859375,2655.0244140625,2659.4619140625,2327153
2024-09-29,2663.6845703125,2663.6845703125,2665.17578125,2656.40185546875,2658.980224609375,2509741
2024-09-30,2632.286376953125,2632.286376953125,2666.812744140625,2628.903564453125,2663.6845703125,3373234
2024-10-01,2662.002685546875,2662.002685546875,2677.360107421875,2631.41064453125,2632.286376953125,5785751
2024-10-02,2661.48828125,2661.48828125,2665.281982421875,2646.22607421875,2662.002685546875,3679566
2024-10-03,2656.806396484375,2656.806396484375,2663.802734375,2642.447265625,2661.48828125,4732926
2024-10-04,2654.523681640625,2654.523681640625,2669.756103515625,2636.879150390625,2656.806396484375,4078673
2024-10-05,2654.71240234375,2654.71240234375,2656.89990234375,2651.93701171875,2654.523681640625,3714648
2024-10-06,2651.671142578125,2651.671142578125,2658.075927734375,2651.092041015625,2654.71240234375,3854150
2024-10-07,2643.0615234375,2643.0615234375,2661.105224609375,2641.056884765625,2651.671142578125,6757049
2024-10-08,2622.39453125,2622.39453125,2653.22119140625,2608.3798828125,2643.0615234375,5261389
2024-10-09,2609.25634765625,2609.25634765625,2624.995361328125,2606.2333984375,2622.39453125,4564686
2024-10-10,2632.12646484375,2632.12646484375,2633.074462890625,2607.6455078125,2609.25634765625,4653788
2024-10-11,2656.490966796875,2656.490966796875,2660.013916015625,2631.17529296875,2632.12646484375,5362149
2024-10-12,2658.09375,2658.09375,2662.102783203125,2654.118408203125,2656.490966796875,3877153
2024-10-13,2651.599609375,2651.599609375,2662.04443359375,2649.75390625,2658.09375,3931590
2024-10-14,2649.525634765625,2649.525634765625,2666.257080078125,2645.410400390625,2651.599609375,4639319
2024-10-15,2661.096435546875,2661.096435546875,2667.657958984375,2640.02294921875,2649.525634765625,4761871
2024-10-16,2673.421630859375,2673.421630859375,2683.023681640625,2658.82177734375,2661.096435546875,4110074
2024-10-17,2691.86376953125,2691.86376953125,2694.833984375,2673.326416015625,2673.421630859375,4907134
